'female','Ellie','K','Ford','38 Mills Street','Eagle Farm Bc','QLD','4009','Ellie.K.Ford@mailinator.com','1970/1/23 00:00:00'
'female','Aaliyah','E','Allen','71 Murphy Street','Wyola West','WA','6407','Aaliyah.E.Allen@dodgit.com','1980/3/23 00:00:00'
'male','Callum','C','Miah','89 Dalgarno Street','Bullawa Creek','NSW','2390','Callum.C.Miah@trashymail.com','1973/3/25 00:00:00'
'male','Finley','L','Buckley','18 Queen Street','Manly Vale','NSW','2093','Finley.L.Buckley@spambob.com','1962/11/20 00:00:00'
'female','Poppy','A','Hilton','36 Nerrigundah Drive','Nyora','VIC','3987','Poppy.A.Hilton@dodgit.com','1972/10/30 00:00:00'
'female','Eloise','Z','Kennedy','18 Mt Berryman Road','Lilydale','QLD','4344','Eloise.Z.Kennedy@spambob.com','1973/9/28 00:00:00'
'female','Shannon','L','Manning','60 Ocean Pde','Greenvale','QLD','4816','Shannon.L.Manning@dodgit.com','1956/6/13 00:00:00'
'male','Oscar','C','Lawson','43 Feather Street','Battery Hill','QLD','4551','Oscar.C.Lawson@spambob.com','1979/10/17 00:00:00'
'female','Sofia','K','Bray','26 Clifton Street','Pental Island','VIC','3586','Sofia.K.Bray@mailinator.com','1970/5/10 00:00:00'
'male','Andrew','N','Byrne','35 Cecil Street','Monash Park','NSW','2111','Andrew.N.Byrne@spambob.com','1983/2/16 00:00:00'
'female','Jasmine','D','Whittaker','91 Creegans Road','Upper Eden Creek','NSW','2474','Jasmine.D.Whittaker@dodgit.com','1954/11/25 00:00:00'
'male','Charlie','L','Savage','48 Cecil Street','Denistone East','NSW','2112','Charlie.L.Savage@mailinator.com','1962/6/2 00:00:00'
'male','Ethan','M','Edwards','75 Point Walter Road','Wattleup','WA','6166','Ethan.M.Edwards@dodgit.com','1985/6/4 00:00:00'
'female','Imogen','L','Macdonald','2 Bass Street','Dungarubba','NSW','2480','Imogen.L.Macdonald@mailinator.com','1963/7/1 00:00:00'
'female','Isabel','H','Nolan','58 Saggers Road','Lake King','WA','6356','Isabel.H.Nolan@spambob.com','1951/1/4 00:00:00'
'male','Peter','C','Andrews','53 Wilson Street','Sea Lake','VIC','3533','Peter.C.Andrews@dodgit.com','1965/7/25 00:00:00'
'female','Hollie','C','Hunter','34 Cornish Street','Kensington','VIC','3031','Hollie.C.Hunter@mailinator.com','1954/2/16 00:00:00'
'male','Jonathan','C','Turner','2 Kopkes Road','Carngham','VIC','3351','Jonathan.C.Turner@trashymail.com','1963/8/26 00:00:00'
'female','Kate','S','Doyle','42 Gregory Way','Mungalup','WA','6225','Kate.S.Doyle@mailinator.com','1974/1/5 00:00:00'
'male','Harley','M','Abbott','39 Faulkner Street','Tilbuster','NSW','2350','Harley.M.Abbott@trashymail.com','1953/10/4 00:00:00'
'male','Morgan','E','Iqbal','64 Carlisle Street','Dysart','VIC','3660','Morgan.E.Iqbal@spambob.com','1954/7/6 00:00:00'
